,SalePrice,MSZoning,LotArea,Utilities,Neighborhood,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofMatl,Exterior1st,ExterQual,Foundation,BsmtQual,BsmtFinType1,BsmtFinSF1,BsmtFullBath,BsmtHalfBath,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,KitchenQual,Functional,Fireplaces,GarageType,GarageFinish,GarageCars,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition
740,132000,RM,9600,AllPub,OldTown,1Fam,2Story,5,1910,2002,CompShg,Wd Sdng,TA,BrkTil,Fa,Unf,0,0,0,GasA,Ex,Y,SBrkr,768,664,0,TA,Typ,0,Detchd,Unf,2,TA,Y,270,0,112,0,0,0,0,5,2007,WD,Abnorml
741,142000,RL,6768,AllPub,Sawyer,1Fam,1Story,6,1961,1996,CompShg,HdBoard,TA,CBlock,TA,GLQ,832,1,1,GasA,Gd,Y,SBrkr,912,0,0,Gd,Typ,0,Detchd,Unf,1,TA,Y,168,0,0,0,0,0,0,5,2008,WD,Normal
742,179000,RL,8450,AllPub,SawyerW,1Fam,1Story,7,2000,2001,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1349,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,120,55,0,0,0,0,0,12,2007,WD,Normal
743,175000,RL,12886,AllPub,Sawyer,1Fam,SLvl,5,1963,1999,CompShg,HdBoard,TA,CBlock,Gd,ALQ,444,0,1,GasA,Ex,Y,SBrkr,1464,0,0,TA,Min2,1,Attchd,RFn,2,TA,Y,302,0,0,0,100,0,0,10,2009,WD,Normal
744,180000,RL,5395,AllPub,StoneBr,TwnhsE,1Story,8,1993,1993,CompShg,HdBoard,Gd,PConc,Gd,GLQ,733,1,0,GasA,Gd,Y,SBrkr,1337,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,96,0,70,168,0,0,0,10,2008,WD,Normal
747,265979,RM,11700,AllPub,OldTown,1Fam,2Story,7,1880,2003,CompShg,Stucco,Gd,Stone,TA,Unf,0,0,0,GasW,TA,N,SBrkr,1320,1320,0,Gd,Typ,1,Detchd,Unf,4,TA,N,181,0,386,0,0,0,0,5,2009,WD,Normal
748,260400,RL,10593,AllPub,NoRidge,1Fam,1Story,7,1996,1996,CompShg,VinylSd,Gd,PConc,Gd,GLQ,919,1,0,GasA,Ex,Y,SBrkr,1720,0,0,Gd,Typ,1,Attchd,Fin,2,TA,Y,240,56,154,0,0,0,0,3,2010,WD,Normal
752,217000,RL,9236,AllPub,CollgCr,1Fam,1Story,6,1997,1997,CompShg,VinylSd,TA,PConc,Gd,GLQ,1200,1,0,GasA,Ex,Y,SBrkr,1494,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,168,27,0,0,0,0,0,7,2006,WD,Normal
753,275500,RL,10240,AllPub,NridgHt,1Fam,2Story,8,2005,2005,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Gd,Y,SBrkr,1038,1060,0,Ex,Typ,1,Attchd,RFn,3,TA,Y,192,52,0,0,0,0,0,3,2006,WD,Normal
754,156000,RL,7930,AllPub,NAmes,1Fam,1Story,6,1969,2005,CompShg,Plywood,TA,CBlock,TA,GLQ,439,1,0,GasA,Gd,Y,SBrkr,1026,0,0,Gd,Typ,0,Detchd,RFn,2,TA,Y,171,48,0,0,0,0,0,7,2009,WD,Normal
755,172500,FV,3230,AllPub,Somerst,TwnhsE,2Story,6,1999,1999,CompShg,MetalSd,TA,PConc,Gd,GLQ,381,0,0,GasA,Gd,Y,SBrkr,742,729,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,24,0,0,0,0,0,3,2009,WD,Normal
756,212000,RL,10769,AllPub,CollgCr,1Fam,2Story,8,2007,2007,CompShg,VinylSd,Gd,PConc,Gd,GLQ,20,0,0,GasA,Ex,Y,SBrkr,866,902,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,144,105,0,0,0,0,0,4,2009,WD,Normal
758,179400,FV,2280,AllPub,Somerst,Twnhs,2Story,7,1999,1999,CompShg,MetalSd,TA,PConc,Gd,ALQ,549,0,0,GasA,Gd,Y,SBrkr,757,744,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,8,2008,WD,Normal
759,290000,RL,12257,AllPub,NoRidge,1Fam,2Story,8,1995,1995,CompShg,VinylSd,Gd,PConc,Gd,LwQ,56,0,0,GasA,Ex,Y,SBrkr,1328,1203,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,222,98,0,0,0,0,0,11,2007,WD,Normal
760,127500,RL,9100,AllPub,NAmes,1Fam,1Story,6,1959,1959,CompShg,Wd Sdng,TA,CBlock,TA,Rec,612,0,0,GasA,Ex,Y,SBrkr,864,0,0,TA,Typ,0,Detchd,Unf,1,Ex,Y,0,0,0,0,0,0,450,10,2009,WD,Normal
761,100000,RM,6911,AllPub,BrkSide,1Fam,1Story,5,1924,1950,CompShg,Wd Sdng,TA,PConc,TA,LwQ,405,0,0,GasA,TA,Y,SBrkr,1301,0,0,Fa,Min1,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,10,2009,WD,Normal
762,215200,FV,8640,AllPub,Somerst,1Fam,2Story,7,2009,2009,CompShg,VinylSd,TA,PConc,Gd,GLQ,24,0,0,GasA,Ex,Y,SBrkr,764,783,0,Gd,Typ,0,Attchd,Unf,2,TA,Y,169,45,0,0,0,0,0,6,2010,Con,Normal
763,337000,RL,9430,AllPub,NoRidge,1Fam,2Story,8,1999,1999,CompShg,VinylSd,Gd,PConc,Gd,GLQ,1163,1,0,GasA,Ex,Y,SBrkr,1268,1097,0,Gd,Typ,1,Attchd,RFn,3,TA,Y,0,128,0,0,180,0,0,7,2009,WD,Normal
764,270000,RL,9549,AllPub,Veenker,TwnhsE,1Story,8,1995,1996,CompShg,BrkFace,Gd,PConc,Gd,LwQ,437,1,0,GasA,Ex,Y,SBrkr,1494,0,0,Ex,Typ,1,Attchd,Fin,2,TA,Y,0,30,0,0,216,0,0,4,2006,WD,Normal
765,264132,RL,14587,AllPub,Somerst,1Fam,1Story,9,2008,2008,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1506,0,0,Ex,Typ,1,Attchd,Fin,2,TA,Y,0,174,0,0,0,0,0,8,2008,New,Partial
766,196500,RL,10421,AllPub,NWAmes,1Fam,2Story,7,1988,1988,CompShg,HdBoard,TA,CBlock,Gd,GLQ,394,0,0,GasA,TA,Y,SBrkr,980,734,0,TA,Typ,1,Attchd,Unf,2,TA,Y,228,66,156,0,0,0,500,3,2010,WD,Normal
767,160000,RL,12508,AllPub,Mitchel,1Fam,1.5Fin,6,1940,1985,CompShg,VinylSd,TA,CBlock,Gd,ALQ,660,1,0,GasA,Ex,Y,SBrkr,983,767,0,TA,Mod,0,Attchd,Unf,1,TA,Y,245,0,156,0,0,0,1300,7,2008,WD,Normal
768,216837,RL,9100,AllPub,CollgCr,1Fam,1Story,7,2004,2005,CompShg,VinylSd,Gd,PConc,Gd,GLQ,24,0,0,GasA,Ex,Y,SBrkr,1836,0,0,Gd,Typ,1,Attchd,Fin,2,TA,Y,120,33,0,0,0,0,0,10,2006,WD,Normal
769,538000,RL,53504,AllPub,StoneBr,1Fam,2Story,8,2003,2003,CompShg,CemntBd,Ex,PConc,Gd,ALQ,1416,1,0,GasA,Ex,Y,SBrkr,1690,1589,0,Ex,Mod,1,BuiltIn,Fin,3,TA,Y,503,36,0,0,210,0,0,6,2010,WD,Normal
771,102000,RL,8877,AllPub,Edwards,1Fam,1Story,4,1951,1951,CompShg,Wd Sdng,TA,CBlock,Fa,LwQ,836,0,0,GasA,TA,Y,FuseF,1220,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,4,2006,COD,Normal
772,107000,RL,7819,AllPub,Edwards,1Fam,SLvl,6,1976,1976,CompShg,Plywood,TA,CBlock,TA,ALQ,422,1,0,GasA,TA,Y,SBrkr,1117,0,0,TA,Typ,1,Detchd,Unf,2,TA,Y,144,0,0,0,0,0,0,3,2010,WD,Abnorml
773,114500,RL,10150,AllPub,NAmes,1Fam,1Story,5,1958,1958,CompShg,Wd Sdng,TA,CBlock,TA,Rec,456,0,0,GasA,Ex,Y,FuseA,912,0,0,TA,Typ,0,Attchd,RFn,1,TA,Y,0,0,0,0,0,0,0,7,2007,COD,Normal
774,395000,RL,14226,AllPub,NridgHt,1Fam,1Story,8,2006,2006,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Gd,Y,SBrkr,1973,0,0,Gd,Typ,1,Attchd,Fin,3,TA,Y,315,45,0,0,0,0,0,7,2007,New,Partial
775,162000,RM,4500,AllPub,Mitchel,TwnhsE,1Story,6,1998,1998,CompShg,VinylSd,TA,PConc,Ex,GLQ,866,1,0,GasA,Ex,Y,SBrkr,1204,0,0,TA,Typ,0,Attchd,Fin,2,TA,Y,0,247,0,0,0,0,0,6,2009,WD,Normal
776,221500,RL,11210,AllPub,CollgCr,1Fam,1Story,7,2005,2006,CompShg,VinylSd,Gd,PConc,Gd,GLQ,20,0,0,GasA,Ex,Y,SBrkr,1614,0,0,Gd,Typ,0,Attchd,RFn,3,TA,Y,144,59,0,0,0,0,0,7,2006,New,Partial
777,142500,RL,13350,AllPub,Sawyer,1Fam,1Story,5,1974,1974,CompShg,HdBoard,TA,CBlock,TA,ALQ,762,1,0,GasA,TA,Y,SBrkr,894,0,0,TA,Typ,1,Attchd,Unf,2,TA,Y,241,0,0,0,0,0,0,6,2006,WD,Normal
779,135000,RL,10530,AllPub,Mitchel,Duplex,SFoyer,6,1977,1977,CompShg,Plywood,TA,CBlock,Gd,GLQ,975,1,0,GasA,TA,Y,SBrkr,1004,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,0,0,0,0,0,0,0,5,2006,WD,Normal
780,176000,RL,7875,AllPub,Gilbert,1Fam,1Story,7,1995,1996,CompShg,HdBoard,TA,PConc,Gd,Unf,0,0,0,GasA,Gd,Y,SBrkr,1253,0,0,TA,Typ,1,Attchd,Fin,2,TA,Y,220,21,0,0,0,0,0,6,2007,WD,Normal
781,175900,RL,7153,AllPub,SawyerW,1Fam,2Story,6,1992,1992,CompShg,VinylSd,Gd,PConc,Gd,ALQ,387,0,0,GasA,Ex,Y,SBrkr,810,793,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,124,0,0,0,0,0,7,2006,WD,Normal
782,187100,RL,16285,AllPub,CollgCr,1Fam,1Story,7,2001,2002,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1430,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,33,0,0,0,0,0,6,2009,WD,Normal
786,139000,RM,10800,AllPub,OldTown,1Fam,1.5Fin,5,1915,1950,CompShg,MetalSd,TA,PConc,Fa,LwQ,686,1,0,GasA,TA,Y,SBrkr,966,686,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,196,0,0,0,1200,6,2010,WD,Normal
787,233000,RL,10142,AllPub,SawyerW,1Fam,2Story,7,2004,2004,CompShg,VinylSd,Gd,PConc,Gd,GLQ,656,1,0,GasA,Ex,Y,SBrkr,956,1128,0,Gd,Typ,0,BuiltIn,RFn,2,TA,Y,0,45,0,0,0,0,0,1,2010,WD,Normal
788,107900,RM,6000,AllPub,OldTown,1Fam,1Story,4,1954,2000,CompShg,MetalSd,TA,CBlock,TA,Unf,0,0,0,GasA,Ex,Y,SBrkr,901,0,0,TA,Typ,0,Detchd,Unf,1,Fa,Y,0,0,0,0,0,0,0,8,2008,WD,Normal
790,160200,RL,3182,AllPub,Blmngtn,TwnhsE,1Story,7,2005,2006,CompShg,VinylSd,Gd,PConc,Gd,GLQ,16,0,0,GasA,Ex,Y,SBrkr,1145,0,0,Gd,Typ,1,Attchd,Fin,2,TA,Y,100,16,0,0,0,0,0,9,2009,WD,Normal
792,269790,RL,9920,AllPub,NoRidge,1Fam,2Story,7,1996,1997,CompShg,MetalSd,Gd,PConc,Gd,GLQ,862,1,0,GasA,Ex,Y,SBrkr,1127,886,0,TA,Typ,1,Attchd,Unf,2,TA,Y,180,130,0,0,0,0,0,6,2007,WD,Normal
793,225000,RL,9158,AllPub,Somerst,1Fam,1Story,8,2007,2007,CompShg,CemntBd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1496,0,0,Gd,Typ,0,Attchd,Fin,2,TA,Y,168,130,0,0,0,0,0,6,2007,New,Partial
795,171000,RL,8400,AllPub,SawyerW,1Fam,2Story,6,1980,1981,CompShg,HdBoard,TA,CBlock,Gd,Unf,0,0,0,GasA,TA,Y,SBrkr,888,676,0,TA,Typ,1,Attchd,Unf,2,TA,Y,0,50,0,0,204,0,0,4,2010,WD,Normal
796,143500,RL,8197,AllPub,Sawyer,1Fam,1Story,6,1977,1977,CompShg,Plywood,TA,CBlock,TA,Unf,0,0,0,GasA,Ex,Y,SBrkr,1285,0,0,TA,Typ,1,Attchd,RFn,2,TA,Y,138,0,0,0,0,0,0,4,2007,WD,Normal
797,110000,RL,7677,AllPub,NAmes,1Fam,1Story,5,1953,1953,CompShg,VinylSd,TA,CBlock,TA,BLQ,570,0,0,GasA,Gd,Y,SBrkr,773,0,0,TA,Typ,0,Attchd,Unf,1,TA,Y,0,0,0,0,0,0,0,4,2008,WD,Abnorml
798,485000,RL,13518,AllPub,NridgHt,1Fam,2Story,9,2008,2009,CompShg,VinylSd,Ex,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1966,1174,0,Ex,Typ,2,BuiltIn,Fin,3,TA,Y,144,78,0,0,0,0,0,7,2009,New,Partial
799,175000,RL,7200,AllPub,SWISU,1Fam,1.5Fin,5,1937,1950,CompShg,Wd Sdng,TA,BrkTil,Gd,ALQ,569,1,0,GasA,Ex,Y,SBrkr,981,787,0,Gd,Typ,2,Detchd,Unf,1,TA,Y,0,0,264,0,0,0,0,6,2007,WD,Normal
800,200000,RL,12798,AllPub,ClearCr,1Fam,2Story,6,1997,1997,CompShg,VinylSd,TA,PConc,Gd,GLQ,462,1,0,GasA,Gd,Y,SBrkr,616,1072,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,403,114,185,0,0,0,400,5,2008,WD,Normal
801,109900,RM,4800,AllPub,IDOTRR,1Fam,1Story,4,1916,1990,CompShg,MetalSd,TA,CBlock,TA,LwQ,197,1,0,GasA,Ex,Y,FuseA,1196,0,0,TA,Typ,0,Detchd,Unf,2,TA,Y,0,0,0,0,0,0,0,7,2007,WD,Normal
802,189000,RL,8199,AllPub,CollgCr,1Fam,2Story,7,2005,2005,CompShg,WdShing,Gd,PConc,Gd,GLQ,648,1,0,GasA,Ex,Y,SBrkr,728,728,0,Gd,Typ,1,Attchd,Fin,2,TA,Y,36,18,0,0,0,0,0,10,2008,WD,Normal
803,582933,RL,13891,AllPub,NridgHt,1Fam,2Story,9,2008,2009,CompShg,VinylSd,Ex,PConc,Ex,Unf,0,0,0,GasA,Ex,Y,SBrkr,1734,1088,0,Ex,Typ,1,BuiltIn,RFn,3,TA,Y,52,170,0,0,192,0,0,1,2009,New,Partial
804,118000,RL,9000,AllPub,NAmes,1Fam,1Story,5,1954,1954,CompShg,Wd Sdng,TA,CBlock,TA,LwQ,812,0,0,GasA,TA,Y,SBrkr,1128,0,0,TA,Min1,0,Attchd,Unf,1,TA,Y,0,0,0,0,0,0,0,6,2006,WD,Family
805,227680,RL,12274,AllPub,Somerst,1Fam,1Story,7,2008,2008,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1428,0,0,Ex,Typ,0,Attchd,RFn,2,TA,Y,0,60,0,0,0,0,0,7,2008,New,Partial
806,135500,RL,9750,AllPub,NAmes,1Fam,SLvl,5,1967,1967,CompShg,VinylSd,TA,PConc,TA,ALQ,400,0,0,GasA,Gd,Y,SBrkr,980,0,0,TA,Typ,0,Attchd,Fin,1,TA,Y,68,0,0,0,0,0,0,10,2006,WD,Normal
807,223500,RL,21384,AllPub,BrkSide,1Fam,2Story,5,1923,2004,CompShg,Wd Sdng,TA,CBlock,TA,GLQ,1309,2,0,GasA,Ex,Y,SBrkr,1072,504,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,0,312,0,0,0,0,0,5,2009,WD,Normal
808,159950,RL,13400,AllPub,NAmes,1Fam,SLvl,5,1966,1966,CompShg,VinylSd,TA,CBlock,TA,ALQ,516,1,0,GasA,TA,Y,SBrkr,1086,0,0,TA,Typ,1,Attchd,RFn,2,TA,Y,0,0,0,0,0,0,0,6,2006,WD,Normal
809,106000,RM,8100,AllPub,OldTown,1Fam,2.5Unf,5,1898,1965,CompShg,AsbShng,TA,PConc,TA,Unf,0,0,0,GasA,TA,N,FuseA,1075,1063,0,TA,Typ,0,Detchd,Unf,2,Fa,N,40,156,0,0,0,0,0,11,2009,WD,Normal
810,181000,RL,10140,AllPub,NWAmes,1Fam,1Story,6,1974,1999,CompShg,HdBoard,TA,CBlock,TA,ALQ,663,1,0,GasA,Fa,Y,SBrkr,1309,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,265,0,0,0,0,648,0,1,2006,WD,Normal
812,55993,C (all),8712,AllPub,IDOTRR,1Fam,1Story,5,1952,1952,CompShg,Wd Sdng,Fa,CBlock,TA,Unf,0,0,0,GasA,TA,N,FuseA,1044,0,0,Fa,Typ,0,Basment,Unf,2,TA,N,0,0,0,0,0,0,54,6,2010,WD,Alloca
813,157900,RL,9750,AllPub,NAmes,1Fam,1Story,6,1958,1958,CompShg,MetalSd,TA,CBlock,TA,Rec,608,0,0,GasA,Gd,Y,SBrkr,1442,0,0,TA,Typ,0,Attchd,RFn,1,TA,Y,0,0,275,0,0,0,500,4,2007,COD,Normal
814,116000,RL,8248,AllPub,Edwards,1Fam,1.5Fin,5,1918,1950,CompShg,Stucco,TA,BrkTil,TA,Unf,0,0,1,GasW,Gd,Y,SBrkr,686,564,0,Fa,Typ,0,Detchd,Unf,1,TA,P,207,0,96,0,0,0,0,7,2006,WD,Normal
815,224900,RL,12137,AllPub,CollgCr,1Fam,1Story,7,1998,1998,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1661,0,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,34,0,0,0,0,0,5,2010,WD,Normal
818,155000,RL,8816,AllPub,ClearCr,1Fam,SLvl,6,1971,1971,CompShg,HdBoard,TA,CBlock,TA,GLQ,504,1,0,GasA,Gd,Y,SBrkr,1052,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,0,0,0,0,0,0,0,6,2010,WD,Normal
819,224000,RL,6371,AllPub,NridgHt,TwnhsE,1Story,7,2009,2010,CompShg,VinylSd,Gd,PConc,Gd,GLQ,733,1,0,GasA,Ex,Y,SBrkr,1358,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,192,35,0,0,0,0,0,6,2010,New,Partial
820,183000,RL,7226,AllPub,CollgCr,1Fam,2Story,7,2003,2003,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,798,842,0,Gd,Typ,0,Attchd,RFn,2,TA,Y,0,45,0,0,0,0,0,6,2008,WD,Normal
821,93000,RM,6000,AllPub,OldTown,2fmCon,1Story,4,1953,1953,CompShg,MetalSd,Fa,CBlock,Fa,Unf,0,0,0,GasA,TA,N,SBrkr,936,0,0,TA,Min2,0,Detchd,Unf,2,TA,Y,0,32,112,0,0,0,0,2,2009,WD,Normal
823,139500,RL,9900,AllPub,SWISU,1Fam,1.5Fin,6,1940,1950,CompShg,VinylSd,TA,BrkTil,TA,Unf,0,0,0,GasA,TA,Y,SBrkr,944,545,0,TA,Typ,1,Detchd,Unf,1,TA,Y,335,0,0,0,0,0,0,7,2009,WD,Normal
824,232600,FV,11216,AllPub,Somerst,1Fam,1Story,8,2006,2006,CompShg,VinylSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1489,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,0,140,0,0,0,0,0,6,2006,New,Partial
825,385000,RL,14803,AllPub,NridgHt,1Fam,1Story,10,2007,2008,CompShg,CemntBd,Ex,PConc,Ex,GLQ,1636,1,0,GasA,Ex,Y,SBrkr,2084,0,0,Ex,Typ,1,Attchd,Fin,3,TA,Y,188,45,0,0,0,0,0,6,2008,New,Partial
827,189000,RL,8529,AllPub,SawyerW,1Fam,1Story,7,2001,2001,CompShg,VinylSd,Gd,PConc,Gd,GLQ,20,0,0,GasA,Ex,Y,SBrkr,1434,0,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,290,39,0,0,0,0,0,4,2009,WD,Normal
829,147400,FV,2544,AllPub,Somerst,Twnhs,2Story,7,2005,2005,CompShg,MetalSd,Gd,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,520,623,80,Gd,Typ,0,Detchd,RFn,2,TA,Y,0,166,0,0,0,0,0,7,2006,WD,Normal
830,166000,RL,11900,AllPub,NAmes,1Fam,1Story,6,1957,1957,CompShg,HdBoard,TA,CBlock,TA,Rec,1040,1,0,GasA,TA,Y,FuseA,1392,0,0,TA,Typ,2,Attchd,RFn,2,TA,Y,0,0,0,0,192,0,0,6,2008,WD,Normal
831,151000,FV,3180,AllPub,Somerst,TwnhsE,2Story,7,2005,2005,CompShg,MetalSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,520,600,80,Gd,Typ,0,Detchd,RFn,2,TA,Y,0,166,0,0,0,0,0,6,2006,WD,Normal
832,237000,RL,9548,AllPub,CollgCr,1Fam,2Story,7,2003,2003,CompShg,VinylSd,Gd,PConc,Gd,GLQ,483,1,0,GasA,Ex,Y,SBrkr,941,888,0,Gd,Typ,1,Attchd,RFn,2,TA,Y,192,39,0,0,0,0,0,1,2010,WD,Normal
833,167000,RL,10004,AllPub,NAmes,1Fam,1Story,6,1964,1964,CompShg,HdBoard,TA,CBlock,TA,Rec,196,0,0,GasA,TA,Y,SBrkr,1516,0,0,TA,Typ,0,Attchd,RFn,2,TA,Y,0,0,0,0,152,0,0,2,2009,WD,Normal
834,139950,RL,7875,AllPub,NAmes,1Fam,1Story,5,1961,1961,CompShg,VinylSd,TA,CBlock,TA,Rec,572,1,0,GasA,Gd,Y,SBrkr,1144,0,0,TA,Typ,0,Attchd,Unf,2,TA,Y,0,0,0,0,0,0,0,9,2008,WD,Normal
835,128000,RL,9600,AllPub,Sawyer,1Fam,1Story,4,1950,1995,CompShg,VinylSd,TA,CBlock,Gd,BLQ,442,0,0,GasA,TA,Y,SBrkr,1067,0,0,Gd,Min2,0,Attchd,Unf,2,TA,Y,290,0,0,0,0,0,0,2,2010,WD,Normal
836,153500,RM,8100,AllPub,OldTown,1Fam,1Story,5,1948,1973,CompShg,VinylSd,TA,BrkTil,TA,Rec,338,1,0,GasA,Gd,Y,SBrkr,1559,0,0,TA,Min2,0,Detchd,Unf,2,TA,Y,0,116,230,0,0,0,0,6,2007,COD,Normal
837,100000,RM,1680,AllPub,BrDale,Twnhs,2Story,6,1973,1973,CompShg,HdBoard,TA,CBlock,TA,BLQ,330,1,0,GasA,TA,Y,SBrkr,483,504,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,11,2008,WD,Normal
838,144000,RL,9525,AllPub,CollgCr,1Fam,1Story,5,1995,2006,CompShg,VinylSd,TA,PConc,Gd,Unf,0,0,0,GasA,Ex,Y,SBrkr,1099,0,0,Gd,Typ,0,Attchd,Unf,1,TA,Y,278,0,0,0,0,0,0,6,2008,WD,Normal
839,130500,RL,11767,AllPub,Edwards,1Fam,1.5Fin,5,1946,1995,CompShg,MetalSd,TA,CBlock,TA,BLQ,352,0,0,GasA,Ex,Y,SBrkr,768,432,0,TA,Typ,0,Detchd,Unf,1,TA,Y,0,0,0,0,0,0,0,5,2008,WD,Normal
841,157500,RM,10440,AllPub,OldTown,1Fam,2Story,5,1904,2002,CompShg,MetalSd,TA,PConc,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,958,581,0,Gd,Typ,1,Detchd,Unf,2,Gd,P,70,78,68,0,0,0,0,6,2008,WD,Normal
842,174900,RL,9020,AllPub,NAmes,1Fam,SLvl,6,1966,1966,CompShg,HdBoard,TA,CBlock,TA,Rec,312,1,0,GasA,TA,Y,SBrkr,1165,0,0,TA,Typ,0,Attchd,RFn,2,Gd,Y,0,129,0,0,0,0,0,5,2008,WD,Normal
844,153900,RM,12665,AllPub,OldTown,1Fam,1.5Fin,5,1915,1950,CompShg,Wd Sdng,TA,BrkTil,TA,Unf,0,0,0,GasA,Gd,Y,SBrkr,876,540,0,TA,Typ,1,Detchd,Unf,3,TA,Y,418,0,194,0,0,0,0,6,2008,WD,Normal
846,213000,RL,9317,AllPub,SawyerW,1Fam,2Story,7,1993,1993,CompShg,HdBoard,Gd,PConc,Gd,ALQ,513,1,0,GasA,Ex,Y,SBrkr,1006,769,0,Gd,Typ,1,Attchd,Unf,2,TA,Y,234,72,192,0,0,0,0,7,2009,WD,Normal
847,133500,RL,15523,AllPub,CollgCr,1Fam,1Story,5,1972,1972,CompShg,HdBoard,TA,CBlock,TA,BLQ,460,1,0,GasA,Ex,Y,SBrkr,864,0,0,TA,Typ,1,Attchd,Unf,1,TA,Y,0,0,0,0,0,0,0,8,2009,WD,Normal
848,240000,RL,45600,AllPub,ClearCr,1Fam,1.5Fin,6,1908,1997,CompShg,Wd Sdng,TA,BrkTil,TA,Unf,0,0,0,GasA,TA,Y,SBrkr,1307,1051,0,TA,Typ,1,Detchd,Unf,2,Fa,Y,486,40,0,0,175,0,0,9,2008,WD,Normal
849,187000,RL,9600,AllPub,Veenker,1Fam,SLvl,6,1976,1994,CompShg,Plywood,Gd,CBlock,TA,Unf,0,0,0,GasA,Ex,Y,SBrkr,1094,761,0,TA,Typ,1,Attchd,RFn,2,TA,Y,113,100,0,0,0,0,0,8,2007,WD,Normal
850,131500,RM,4435,AllPub,CollgCr,TwnhsE,1Story,6,2003,2003,CompShg,VinylSd,Gd,PConc,Gd,GLQ,659,1,0,GasA,Ex,Y,SBrkr,848,0,0,Gd,Typ,0,Attchd,Fin,2,TA,Y,140,0,0,0,0,0,0,11,2007,WD,Normal
852,164000,RL,7128,AllPub,Crawfor,1Fam,2.5Unf,7,1941,1950,CompShg,MetalSd,TA,CBlock,TA,Rec,364,0,0,GasA,Gd,Y,SBrkr,918,728,0,TA,Typ,2,Detchd,Unf,1,TA,Y,0,0,0,0,126,0,0,8,2007,WD,Normal
854,170000,RL,17920,AllPub,Sawyer,1Fam,1Story,5,1955,1974,CompShg,Wd Sdng,TA,CBlock,TA,ALQ,306,1,0,GasA,TA,Y,SBrkr,1779,0,0,TA,Typ,1,Attchd,Unf,2,TA,Y,0,418,0,0,312,0,0,7,2006,WD,Abnorml
857,174000,RL,8125,AllPub,Gilbert,1Fam,2Story,6,1994,1995,CompShg,HdBoard,TA,PConc,Gd,Unf,0,0,0,GasA,Gd,Y,SBrkr,702,779,0,TA,Typ,1,Attchd,Fin,2,TA,Y,0,36,0,0,0,0,0,3,2009,WD,Normal
858,152000,RL,10400,AllPub,NWAmes,1Fam,1Story,7,1976,1976,CompShg,HdBoard,TA,CBlock,Gd,Unf,0,0,0,GasA,TA,Y,SBrkr,1370,0,0,TA,Typ,1,Attchd,RFn,2,TA,Y,0,0,0,0,0,0,0,6,2009,WD,Family
